ices_code	ices_description	code_type
SI	Sample / Site information (miscellaneous)	MATRX
SP	Spleen	MATRX
SPM	Sea water sample - Suspended particulate matter	MATRX
ST	Stomach	MATRX
SW	Surface waters	MATRX
TE	Testes (gonads - male)	MATRX
TL	Tail (bird)	MATRX
TM	Tail muscle	MATRX
TW	Tallow	MATRX
UR	Urine	MATRX
US	Sediment sample - Unfractionated (deprecated)	MATRX
VC	Viscera organs	MATRX
VSD	Vas deferens	MATRX
WC	Water column	MATRX
WM	White meat consisting of tail and claw muscle	MATRX
WN	Wing span (bird)	MATRX
WO	Whole organism	MATRX
WT	Water	MATRX
%DNAtail	% DNA in tail (a measure of the proportion of total DNA present in the comet tail)	PARAM
%FDRD	% reduction in feeding	PARAM
%FemalePOP	% female population	PARAM
%FLVBR	% female larvae in brood	PARAM
%GRC	% granulocytes (basophils  eosinophils plus neutrophils) of total blood cells	PARAM
%HCT	hematocrit - volume percentage of red blood cells in blood	PARAM
%iRBC	% immature red blood cells of total blood cells	PARAM
%LMS	% of Lysosomal membrane stability calculated as  (1-(sum of weighted score/75))*100	PARAM
%LYMC	% lymphocytes (T cells  B cells plus natural killer cells) of total blood cells	PARAM
%MalePOP	% male population	PARAM
%OXSAT	Oxygen saturation in %	PARAM
%STERF	% sterile females (IMPS 5-6  INTS 2 or above)	PARAM
%THR	% thrombocytes of total blood cells	PARAM
%WBC	% white blood cells (leucocytes) of total blood cells	PARAM
21BNT	Benzo[b]naphtho[2 1-d]thiophene	PARAM
24D	2 4-dichlorophenoxyacetic acid	PARAM
24DB	2 4-Dichlorophenoxybutyric acid	PARAM
24DNT	2 4-Dinitrotoluene	PARAM
24DP	Dichloroprop	PARAM
24DTE	2 4-D total esters	PARAM
26DNT	2 6-Dinitrotoluene	PARAM
2CTC	1-Chloro-2-(chlorodiphenylmethyl)benzene	PARAM
2HBP	2-Hydroxybiphenyl	PARAM
2HBP-QC	2-Hydroxybiphenyl normalised (QC parameter)	PARAM
2NT	2-Nitrotoluene	PARAM
3NT	3-Nitrotoluene	PARAM
4CLANL	4-Chloroaniline	PARAM
4NT	4-Nitrotoluene	PARAM
ABUND%C	Abundance coverage (%)	PARAM
ABUNDNR	Abundance number (number counted)	PARAM
ABUNDSC	Abundance scale (scale)	PARAM
ACAN THO	Acanthochondria sp.	PARAM
ACANCEPH	ACANTHOCEPHALA (ERMS)	PARAM
AChE	acetylcholine esterase activity (Unit example: amount acetylthiocholine (ACTC)/time/amount protein)	PARAM
ACLFN	Aclonifen	PARAM
ACNE	acenaphthene	PARAM
ACNLE	acenaphthylene	PARAM
ACRNT	acrylonitrile	PARAM
ACTMN	Acetaminofen	PARAM
AD-DBR	Aberrant development - dead brood. Extensive egg set death where the collection or residue of dead eggs is not possible to define in numbers	PARAM
AD-DI	Aberrant development - dead individual	PARAM
AD-MALFORM	Aberrant development - malformation	PARAM
AD-MEMD	Aberrant development - membrane damage	PARAM
AD-SOMITE	Aberrant development - somite injury	PARAM
AD-UNDIFF	Aberrant development - undifferentiated egg	PARAM
AG	silver	PARAM
AGMAX	age (max)	PARAM
AGMEA	age (mean)	PARAM
AGMIN	age (min)	PARAM
AIRPRES	Air pressure	PARAM
AIRTEMP	Air temperature (MATRX=SI)	PARAM
AL	aluminium	PARAM
ALACL	alachlor	PARAM
ALAD	delta-aminolevulinic acid dehydratase	PARAM
ALCANC12	Dodecane	PARAM
ALCANC13	Tridecane	PARAM
ALCANC14	Tetradecane	PARAM
ALCANC15	Pentadecane	PARAM
ALCANC16	Hexadecane	PARAM
ALCANC17	Heptadecane	PARAM
ALCANC18	Octadecane	PARAM
ALCANC19	Nonadecane	PARAM
ALCANC20	Eicosane	PARAM
ALCANC21	Heneicosane	PARAM
ALCANC22	Docosane	PARAM
ALCANC23	Tricosane	PARAM
ALCANC24	Tetracosane	PARAM
ALCANC25	Pentacosane	PARAM
ALCANC26	Hexacosane	PARAM
ALCANC27	Heptacosane	PARAM
ALCANC28	Octacosane	PARAM
ALCANC29	Nonacosane	PARAM
ALCANC30	Triacontane	PARAM
ALD	aldrin	PARAM
ALKY	total alkalinity	PARAM
AM4CP	2-Amino-4-chlorophenol	PARAM
AMON	ammonium (NH4-N)	PARAM
AMTR	ametryn	PARAM
ANCI MYT	Ancistrum mytili	PARAM
ANISAKIX	ANISAKIDAE nematodes (Rubin ö1)	PARAM
ANL	Aniline	PARAM
ANT	anthracene	PARAM
ANT2M	2-methylanthracene	PARAM
ANTH	Anthanthrene	PARAM
AOX-U	absorbable organic halogens - unspecified	PARAM
APOPTS	apoptosis	PARAM
ARAMT	aramite	PARAM
ARO1254	Arochlor 1254	PARAM
Aroclor	Aroclor	PARAM
AS	arsenic	PARAM
ASH	ash content	PARAM
ATEMP-PCO2	Analytical temperature for PCO2	PARAM
ATEMP-PH	Analytical temperature for pH	PARAM
ATNOL	Atenol	PARAM
ATRZ	atrazine	PARAM
AZE	azinphos-ethyl	PARAM
AZM	azinphos-methyl	PARAM
B	boron	PARAM
BA	barium	PARAM
BAA	benzo[a]anthracene	PARAM
BAAM7	Benz[a]anthracene  7-methyl-	PARAM
BAEP	benzo[a]pyrene + benzo[e]pyrene	PARAM
BAF	Benzo[a]fluoranthene	PARAM
BAP	benzo[a]pyrene	PARAM
BAP3OH	3-hydroxy benzo(a)pyrene	PARAM
BAP3OH-QC	3-hydroxy benzo(a)pyrene normalised (QC parameter)	PARAM
BAPM7	Benzo[a]pyrene  7-methyl-	PARAM
BASFC	basophilic foci	PARAM
BB209	decabromobiphenyl (PBB209)	PARAM
BBA	benz[b]anthracene	PARAM
BBF	benzo[b]fluoranthene	PARAM
BBJF	benzo[b+j]fluoranthene	PARAM
BBJKF	benzo[b+j k]fluoranthene	PARAM
BBKF	benzo[b+k]fluoranthene	PARAM
BBP	Benzyl butyl phthalate	PARAM
BD100	2 2' 4 4' 6-pentabromodiphenyl ether (PBDE100)	PARAM
BD105	2 3 3' 4 4'-pentabromodiphenyl ether (PBDE105)	PARAM
BD116	Benzene  pentabromophenoxy- (PBDE116)	PARAM
BD119	2 3' 4 4' 6-pentabromodiphenyl ether (BDE119)	PARAM
BD126	3 3' 4 4' 5-pentabromodiphenyl ether (PBDE126)	PARAM
BD126+155	BD126 + BD155	PARAM
BD138	2 2' 3 4 4' 5'-hexabromodiphenyl ether (PBDE138)	PARAM
BD139	2 2' 3 4 4' 6-Hexabromodiphenyl ether (PBDE139)	PARAM
BD140	2 2' 3 4 4' 6'-hexabromodiphenyl ether (PBDE140)	PARAM
BD153	2 2' 4 4' 5 5'-hexabromodiphenyl ether (PBDE153)	PARAM
BD154	2 2' 4 4' 5 6'-hexabromodiphenyl ether (PBDE154)	PARAM
BD155	2 2' 4 4' 6 6'-hexabromodiphenyl ether (PBDE155)	PARAM
BD156	Benzene  1 2 3 4-tetrabromo-5-(3 4-dibromophenoxy)- (BDE156)	PARAM
BD163	benzene  1 2 4 5-tetrabromo-3-(3 4-dibromophenoxy)- (BDE163)	PARAM
BD166	2 3 4 4' 5 6-hexabromodiphenyl ether (BDE166)	PARAM
BD171	2 2' 3 3' 4 4' 6-Heptabromodiphenyl ether (PBDE171)	PARAM
BD175	Benzene  1 2 3 5-tetrabromo-4-(2 3 5-tribromophenoxy)- (BDE175)	PARAM
BD180	2 2' 3 4 4' 5 5'-Heptabromodiphenyl ether (PBDE180)	PARAM
BD181	2 2' 3 4 4' 5 6-heptabromodiphenyl ether (BDE181)	PARAM
BD183	2 2' 3 4 4' 5' 6-heptabromodiphenyl ether (BDE183)	PARAM
BD184	2 2' 3 4 4' 6 6'-Heptabromodiphenyl ether (BDE184)	PARAM
BD190	2 3 3' 4 4' 5 6-heptabromodiphenyl ether (BDE190)	PARAM
BD191	2 3 3' 4 4' 5' 6-Heptabromodiphenyl ether	PARAM
BD196	2 2' 3 3' 4 4' 5 6'-Octabromodiphenyl ether (BDE196)	PARAM
BD197	Benzene  1 1'-oxybis[2 3 4 6-tetrabromo-(BDE197)	PARAM
BD201	2 2' 3 3' 4 5' 6 6'-Octabromodiphenyl ether (PBDE201)	PARAM
BD202	Benzene  1 1'-oxybis[2 3 5 6-tetrabromo- (PBDE202)	PARAM
BD203	Benzene  pentabromo(2 4 5-tribromophenoxy)-  (PBDE 203)	PARAM
BD205	Benzene  1 2 3 4 5-pentabromo-6-(3 4 5-tribromophenoxy)- (PBDE205)	PARAM
BD206	Benzene  1 2 3 4 5-pentabromo-6-(2 3 4 5-tetrabromophenoxy)- (PBDE206)	PARAM
BD207	Benzene  pentabromo(2 3 4 6-tetrabromophenoxy)-  (PBDE 207)	PARAM
BD208	Benzene  1 2 3 4 5-pentabromo-6-(2 3 5 6-tetrabromophenoxy)- (PBDE208)	PARAM
BD209	decabromodiphenyl ether (PBDE209)	PARAM
BDCM	Bromodichloromethane	PARAM
BDDHx1	1 2 3 4 7 8-hexabromodibenzodioxin (BDDHx1)	PARAM
BDDHx2	1 2 3 6 7 8-hexabromodibenzodioxin (BDDHx2)	PARAM
BDDHx3	1 2 3 7 8 9-Hexabromodibenzodioxin (BDDHx3)	PARAM
BDDPe1	1 2 3 7 8-Pentabromodibenzodioxin (BDDPe1)	PARAM
BDDTe1	2 3 7 8-Tetrabromodibenzodioxin (BDDTe1)	PARAM
BDDTr1	2 3 7-Tribromodibenzodioxin (BDDTr1)	PARAM
BDE1	Benzene  1-bromo-2-phenoxy- (PBDE1)	PARAM
BDE10	Benzene  1 3-dibromo-2-phenoxy- (PBDE10)	PARAM
BDE11	3 3'-Dibromodiphenyl ether (PBDE11)	PARAM
BDE12	3 4-Dibromodiphenyl ether (PBDE12)	PARAM
BDE12+13	BDE12 + BDE13	PARAM
BDE126+155	BDE126 + BDE155	PARAM
BDE13	Benzene  1-bromo-3-(4-bromophenoxy)- (PBDE13)	PARAM
BDE15	4 4'-dibromodiphenyl ether (PBDE15)	PARAM
BDE17	2 2' 4-tribromodiphenyl ether (BDE17)	PARAM
BDE2	Benzene  1-bromo-3-phenoxy- (PBDE2)	PARAM
BDE25	2 3' 4-tribromodiphenyl ether (BDE25)	PARAM
BDE28	2 4 4'-tribromodiphenyl ether (PBDE28)	PARAM
BDE28+33	BDE28+ BDE33	PARAM
BDE3	Benzene  1-bromo-4-phenoxy-	PARAM
BDE30	2 4 6-Tribromodiphenyl ether (PBDE30)	PARAM
BDE32	2 4' 6-tribromodiphenyl ether (BDE32)	PARAM
BDE33	2' 3 4-tribromodiphenyl ether (BDE33)	PARAM
BDE35	3 3' 4-tribromodiphenyl ether (BDE35)	PARAM
BDE37	3 4 4'-tribromodiphenyl ether (BDE37)	PARAM
BDE47	2 2' 4 4'-tetrabromodiphenyl ether (PBDE47)	PARAM
BDE49	2 2' 4 5'-tetrabromodiphenyl ether (BDE49)	PARAM
BDE52	benzene  1 1'-oxybis[2 5-dibromo- (9CI)  (BDE52)	PARAM
BDE54	Bis(2 6-dibromophenyl) ether (PBDE54)	PARAM
BDE66	2 3' 4 4'-tetrabromodiphenyl ether (BDE66)	PARAM
BDE7	Benzene  2 4-dibromo-1-phenoxy-  (BDE 7)	PARAM
BDE71	2 3' 4' 6-tetrabromodiphenyl ether (BDE71)	PARAM
BDE75	2 4 4' 6-tetrabromodiphenyl ether (BDE75)	PARAM
BDE77	3 3' 4 4'-tetrabromodiphenyl ether (BDE77)	PARAM
BDE8	2 4'-Dibromodiphenyl ether (PBDE8)	PARAM
BDE85	2 2' 3 4 4'-pentabromodiphenyl ether (PBDE85)	PARAM
BDE99	2 2' 4 4' 5-pentabromodiphenyl ether (PBDE99)	PARAM
BDFHp1	1 2 3 4 6 7 8-Heptabromodibenzofuran (BDFHp1)	PARAM
BDFHx1	1 2 3 4 7 8-Hexabromodibenzofuran (BDFHx1)	PARAM
BDFPe1	1 2 3 7 8-Pentabromodibenzofuran (BDFPe1)	PARAM
BDFPe2	2 3 4 7 8-Pentabromodibenzofuran (BDFPe2)	PARAM
BDFTe1	2 3 7 8-Tetrabromodibenzofuran (BDFTe1)	PARAM
BDFTr1	2 3 8-Tribromodibenzofuran (BDFTr1)	PARAM
BE	Beryllium	PARAM
BENTZN	Bentazon	PARAM
BENZ	benzene	PARAM
BEP	benzo[e]pyrene	PARAM
BESTD	Beta-estradiol	PARAM
BFLA	benzo[a]fluorene	PARAM
BFLB	benzo[b]fluorene	PARAM
BFN	Bifenox	PARAM
BGHIF	Benzo[ghi]fluoranthene	PARAM
BGHIP	benzo[ghi]perylene	PARAM
BI214	bismuth-214	PARAM
BIPN	biphenyl	PARAM
BJF	benzo[j]fluoranthene	PARAM
BJKF	benzo[j k]fluoranthene	PARAM
BKF	benzo[k]fluoranthene	PARAM
BMAFDWT	Biomass - ash free dry weight	PARAM
BMASHWT	Biomass - Ash weight - for legacy data	PARAM
BMCCONT	Biomass - carbon content (for reported specie in sample)	PARAM
BMCEVOL	Biomass - cell volume (for reported specie in sample)	PARAM
BMDRYWT	Biomass - dry weight	PARAM
BMDSVOL	Biomass - displacement volume	PARAM
BMOEP	Bis(2-methoxyethyl) phthalate	PARAM
BMPLVOL	Biomass - plasma volume	PARAM
BMSTVOL	Biomass - settled volume	PARAM
BMWETWT	Biomass - wet weight	PARAM
BOD21	biological oxygen demand (21 days)	PARAM
BOD5	biological oxygen demand (5 days)	PARAM
BOD7	biological oxygen demand (7 days)	PARAM
BotCurDir	Bottom current direction  (degrees) (MATRX=SI)	PARAM
BotCurSpeed	Bottom current speed (MATRX=SI)	PARAM
BotSal	Bottom salinity (MATRX=SI)	PARAM
BotTemp	bottom temperature (MATRX=SI)	PARAM
BPA	Bisphenol A	PARAM
BR	bromide	PARAM
BREADTH	breadth (ex. matrix EG)	PARAM
BRFRM	bromoform	PARAM
BRMCL	Bromacil	PARAM
BROCY	Bromocyclen	PARAM
BUCEPH	Bucephalid sp.	PARAM
C13	Carbon isotope of mass 13	PARAM
CA	calcium	PARAM
CACO3	calcium carbonate	PARAM
CALI GUS	Caligus sp. (stages 1-3 specified in MUNIT)	PARAM
CALK	carbonate alkalinity	PARAM
CAO	Calcium oxide	PARAM
CAT	catalase activity  (Unit example: micromol/min/mg protein)	PARAM
CB1	1 1'-Biphenyl  2-chloro- (CB1)	PARAM
CB10	1 1'-Biphenyl  2 6-dichloro- (CB10)	PARAM
CB100	1 1'-Biphenyl  2 2' 4 4' 6-pentachloro- (CB100)	PARAM
CB101	2 2' 4 5 5'-pentachlorobiphenyl (CB101)	PARAM
CB103	1 1'-Biphenyl  2 2' 4 5' 6-pentachloro- (CB103)	PARAM
CB105	2 3 3' 4 4'-pentachlorobiphenyl (CB105)	PARAM
CB107	1 1'-Biphenyl  2 3 3' 4' 5-pentachloro- (CB107)	PARAM
CB107+147	CB107 + CB147	PARAM
CB110	2 3 3' 4' 6-pentachlorobiphenyl (CB110)	PARAM
CB114	2 3 4 4' 5-pentachlorobiphenyl (CB114)	PARAM
CB118	2 3' 4 4' 5-pentachlorobiphenyl (CB118)	PARAM
CB119	1 1'-Biphenyl  2 3' 4 4' 6-pentachloro- (CB119)	PARAM
CB12	3 4-Dichlorobiphenyl (CB12)	PARAM
CB12+13	CB12 + CB13	PARAM
CB122	1 1'-Biphenyl  2 3 3' 4' 5'-pentachloro- (CB122)	PARAM
CB123	1 1'-Biphenyl  2 3' 4 4' 5'-pentachloro- (CB123)	PARAM
CB124	1 1'-Biphenyl  2 3' 4' 5 5'-pentachloro- (CB124)	PARAM
CB124+135+144	CB124 + CB135 + CB144	PARAM
CB126	3 3' 4 4' 5-pentachlorobiphenyl (CB126)	PARAM
CB128	2 2' 3 3' 4 4'-hexachlorobiphenyl (CB128)	PARAM
CB128+174	CB128 + CB174	PARAM
CB129	2 2' 3 3' 4 5-Hexachlorobiphenyl (CB129)	PARAM
CB129+178	CB129 + CB178	PARAM
CB12E	1 2 bis (pentabromophenyl) ethane (CB12E)	PARAM
CB13	3 4'-Dichlorobiphenyl (CB13)	PARAM
CB130	2 3 4-2' 3' 5'-Hexachlorobiphenyl (CB130)	PARAM
CB131	1 1'-Biphenyl  2 2' 3 3' 4 6-hexachloro- (CB131)	PARAM
CB131+134	CB131 + CB134	PARAM
CB132	2 2' 3 3' 4 6'-hexachlorobiphenyl (CB132)	PARAM
CB133	2 3 5 2' 3' 5'-Hexachlorobiphenyl (CB133)	PARAM
CB134	1 1'-Biphenyl  2 2' 3 3' 5 6-hexachloro- (CB134)	PARAM
CB134+143	CB134 + CB143	PARAM
CB135	1 1'-Biphenyl  2 2' 3 3' 5 6'-hexachloro- (CB135)	PARAM
CB135+144	CB135 + CB144	PARAM
CB136	2 3 6 2' 3' 6'-hexachlorobiphenyl (CB136)	PARAM
CB137	2 2' 3 4 4' 5-hexachlorobiphenyl (CB137)	PARAM
CB138	2 2' 3 4 4' 5'-hexachlorobiphenyl (CB138)	PARAM
CB138+158	CB138 + CB158	PARAM
CB138+163	CB138 + CB163	PARAM
CB141	2 2' 3 4 5 5'-hexachlorobiphenyl (CB141)	PARAM
CB144	1 1'-Biphenyl  2 2' 3 4 5' 6-hexachloro- (CB144)	PARAM
CB146	1 1'-Biphenyl  2 2' 3 4' 5 5'-hexachloro- (CB146)	PARAM
CB147	1 1'-Biphenyl  2 2' 3 4' 5 6-hexachloro- (CB147)	PARAM
CB149	2 2' 3 4' 5' 6-hexachlorobiphenyl (CB149)	PARAM
CB15	1 1'-Biphenyl  4 4'-dichloro- (CB15)	PARAM
CB15+17	1 1'-Biphenyl  4 4'-dichloro- (CB15) + 2 2' 4-trichlorobiphenyl (CB17)	PARAM
CB151	2 2' 3 5 5' 6-hexachlorobiphenyl (CB151)	PARAM
CB153	2 2' 4 4' 5 5'-hexachlorobiphenyl (CB153)	PARAM
CB155	1 1'-Biphenyl  2 2' 4 4' 6 6'-hexachloro- (CB155)	PARAM
CB156	2 3 3' 4 4' 5-hexachlorobiphenyl (CB156)	PARAM
CB156+171+202	CB156+CB171+CB202	PARAM
CB156+172	CB156 + CB172	PARAM
CB157	2 3 4 3' 4' 5'-hexachlorobiphenyl (CB157)	PARAM
CB157+200	CB157+CB200	PARAM
CB158	2 3 3' 4 4' 6-hexachlorobiphenyl (CB158)	PARAM
CB16	1 1'-Biphenyl  2 2' 3-trichloro- (CB16)	PARAM
CB16+32	CB16 + CB32	PARAM
CB163	2 3 3' 4' 5 6-hexachlorobiphenyl (CB163)	PARAM
CB166	1 1'-Biphenyl  2 3 4 4' 5 6-hexachloro- (CB166)	PARAM
CB167	2' 3 4 4' 5 5'-hexachlorobiphenyl (CB167)	PARAM
CB169	3 3' 4 4' 5 5'-hexachlorobiphenyl (CB169)	PARAM
CB17	2 2' 4-trichlorobiphenyl (CB17)	PARAM
CB170	2 2' 3 3' 4 4' 5-heptachlorobiphenyl (CB170)	PARAM
CB170+190	CB170 + CB190	PARAM
CB171	2 2' 3 3' 4 4' 6-heptachlorobiphenyl (CB171)	PARAM
CB171+202	CB171 + CB202	PARAM
CB172	1 1'-Biphenyl  2 2' 3 3' 4 5 5'-heptachloro- (CB172)	PARAM
CB173	2 2' 3 3' 4 5 6-Heptachlorobiphenyl (CB173)	PARAM
CB174	1 1'-Biphenyl  2 2' 3 3' 4 5 6'-heptachloro- (CB174)	PARAM
CB175	1 1'-Biphenyl  2 2' 3 3' 4 5' 6-heptachloro- (CB175)	PARAM
CB176	1 1'-Biphenyl  2 2' 3 3' 4 6 6'-heptachloro- (CB176)	PARAM
CB177	2 2' 3 3' 4' 5 6-heptachlorobiphenyl (CB177)	PARAM
CB178	1 1'-Biphenyl  2 2' 3 3' 5 5' 6-heptachloro- (CB178)	PARAM
CB179	1 1'-Biphenyl  2 2' 3 3' 5 6 6'-heptachloro- (CB179)	PARAM
CB18	2 2' 5-trichlorobiphenyl (CB18)	PARAM
CB180	2 2' 3 4 4' 5 5'-heptachlorobiphenyl (CB180)	PARAM
CB182	2 2' 3 4 4' 5 6'-Heptachlorobiphenyl (CB182)	PARAM
CB182+187	CB182 + CB187	PARAM
CB183	2 2' 3 4 4' 5' 6-heptachlorobiphenyl (CB183)	PARAM
CB185	2 2' 3 4 5 5' 6-heptachlorobiphenyl (CB185)	PARAM
CB187	2 2' 3 4' 5 5' 6-heptachlorobiphenyl (CB187)	PARAM
CB188	2 2' 3 4' 5 6 6'-heptachlorobiphenyl (CB188)	PARAM
CB189	2 3 3' 4 4' 5 5'-heptachlorobiphenyl (CB189)	PARAM
CB19	1 1'-Biphenyl  2 2' 6-trichloro- (CB19)	PARAM
CB190	1 1'-Biphenyl  2 3 3' 4 4' 5 6-heptachloro-(CB190)	PARAM
CB191	2 3 3' 4 4' 5' 6-heptachlorobiphenyl (CB191)	PARAM
CB193	2 3 3' 4' 5 5' 6-Heptachlorobiphenyl (CB193)	PARAM
CB194	2 2' 3 3' 4 4' 5 5'-octachlorobiphenyl (CB194)	PARAM
CB194+205	CB194 + CB205	PARAM
CB195	2 2' 3 3' 4 4' 5 6-octachlorobiphenyl (CB195)	PARAM
CB195+208	CB195 + CB208	PARAM
CB196	2 2' 3 3' 4 4' 5' 6-octachlorobiphenyl (CB196)	PARAM
CB196+203	CB196 + CB203	PARAM
CB197	1 1'-Biphenyl  2 2' 3 3' 4 4' 6 6'-octachloro- (CB197)	PARAM
CB198	1 1'-Biphenyl  2 2' 3 3' 4 5 5' 6-octachloro- (CB198)	PARAM
CB199	2 2' 3 3' 4' 5 5' 6-octachlorobiphenyl (CB199)	PARAM
CB20	2' 3 3'-Trichlorobiphenyl (CB20)	PARAM
CB20+33	CB20 + CB33	PARAM
CB200	2 2' 3 3' 4 5 6 6'-octachlorobiphenyl (CB200)	PARAM
CB201	2 2' 3 3' 4 5' 6 6'-octachlorobiphenyl (CB201)	PARAM
CB202	2 2' 3 3' 5 5' 6 6'-octachlorobiphenyl (CB202)	PARAM
CB203	2 2' 3 4 4' 5 5' 6-Octachlorobiphenyl (CB203)	PARAM
CB205	2 3 3' 4 4' 5 5' 6-octachlorobiphenyl (CB205)	PARAM
CB206	2 2' 3 3' 4 4' 5 5' 6-nonachlorobiphenyl (CB206)	PARAM
CB207	1 1'-Biphenyl  2 2' 3 3' 4 4' 5 6 6'-nonachloro- (CB207)	PARAM
CB208	2 2' 3 3' 4 5 5' 6 6'-nonachlorobiphenyl (CB208)	PARAM
CB209	2 2' 3 3' 4 4' 5 5' 6 6'-decachlorobiphenyl (CB209)	PARAM
CB21	1 1'-Biphenyl  2 3 4-trichloro- (CB21)	PARAM
CB21+33+53	CB21 + CB33 + CB53	PARAM
CB22	1 1'-Biphenyl  2 3 4'-trichloro- (CB22)	PARAM
CB24	1 1'-Biphenyl  2 3 6-trichloro- (CB24)	PARAM
CB24+27	CB24 + CB27	PARAM
CB25	1 1'-Biphenyl  2 3' 4-trichloro- (CB25)	PARAM
CB26	2 3' 5-trichlorobiphenyl (CB26)	PARAM
CB27	1 1'-Biphenyl  2 3' 6-trichloro- (CB27)	PARAM
CB28	2 4 4'-trichlorobiphenyl (CB28)	PARAM
CB28+31	2 4 4'-trichlorobiphenyl (CB28) + 2 4' 5-trichlorobiphenyl (CB31)	PARAM
CB29	1 1'-Biphenyl  2 4 5-trichloro- (CB29)	PARAM
CB29+54	CB29 + CB54	PARAM
CB3	1 1'-Biphenyl  4-chloro- (CB3)	PARAM
CB31	2 4' 5-trichlorobiphenyl (CB31)	PARAM
CB32	1 1'-Biphenyl  2 4' 6-trichloro- (CB32)	PARAM
CB33	2' 3 4-trichlorobiphenyl (CB33)	PARAM
CB35	3 3' 4-trichlorobiphenyl (CB35)	PARAM
CB37	1 1'-Biphenyl  3 4 4'-trichloro- (CB37)	PARAM
CB4	1 1'-Biphenyl  2 2'-dichloro- (CB4)	PARAM
CB4+10	CB4 + CB10	PARAM
CB40	2 2' 3 3'-Tetrachlorobiphenyl (CB40)	PARAM
CB41	2 2' 3' 4'-Tetrachlorobiphenyl (CB41)	PARAM
CB41+64	2 2' 3' 4'-Tetrachlorobiphenyl (CB41) + 1 1'-Biphenyl  2 3 4' 6-tetrachloro- (CB64)	PARAM
CB41+64+71	CB41 + CB64 + CB71	PARAM
CB41+67+71	CB41 + CB67 + CB71	PARAM
CB42	1 1'-Biphenyl  2 2' 3 4'-tetrachloro- (CB42)	PARAM
CB43	1 1'-Biphenyl  2 2' 3 5-tetrachloro- (CB43)	PARAM
CB43+49	CB43 + CB49	PARAM
